timestamp,leg_left_hip_roll_joint,leg_left_hip_yaw_joint,leg_left_hip_pitch_joint,leg_left_knee_pitch_joint,leg_left_ankle_pitch_joint,leg_left_ankle_roll_joint,leg_right_hip_roll_joint,leg_right_hip_yaw_joint,leg_right_hip_pitch_joint,leg_right_knee_pitch_joint,leg_right_ankle_pitch_joint,leg_right_ankle_roll_joint
1764303143.6384206,0.0955246239900589,0.09301665425300598,-0.38592350482940674,0.9695194959640503,-0.6284176111221313,0.07510301470756531,-0.12435436248779297,-0.026290493085980415,-0.441106915473938,0.8991129994392395,-0.503303050994873,-0.04896730184555054
1764303143.6788201,0.09518066048622131,0.0925857275724411,-0.3860010802745819,0.9695910811424255,-0.6284021139144897,0.0749528780579567,-0.12466652691364288,-0.0262126624584198,-0.4413958191871643,0.8991221785545349,-0.503423810005188,-0.049225546419620514
1764303143.7192051,0.09483698755502701,0.09215537458658218,-0.3860786259174347,0.9696581959724426,-0.6283920407295227,0.07479642331600189,-0.12497228384017944,-0.026138750836253166,-0.44168341159820557,0.8991304039955139,-0.5035454630851746,-0.049480974674224854
1764303143.759656,0.09449377655982971,0.09172549098730087,-0.38615548610687256,0.9697213172912598,-0.6283865571022034,0.07463472336530685,-0.12527191638946533,-0.02606893889605999,-0.4419693350791931,0.899137020111084,-0.5036673545837402,-0.04973404109477997
1764303143.8001,0.09415113925933838,0.09129602462053299,-0.38623175024986267,0.9697809815406799,-0.6283859014511108,0.07446730136871338,-0.12556563317775726,-0.026003364473581314,-0.4422537088394165,0.8991421461105347,-0.5037897825241089,-0.04998482018709183
1764303143.8405967,0.09380912780761719,0.09086666256189346,-0.38630741834640503,0.9698376059532166,-0.628389298915863,0.07429368793964386,-0.12585343420505524,-0.02594192698597908,-0.442536324262619,0.899146556854248,-0.503913164138794,-0.050232984125614166
1764303143.8809996,0.09346826374530792,0.09043749421834946,-0.3863828480243683,0.9698907732963562,-0.6283961534500122,0.07411427795886993,-0.12613508105278015,-0.02588426135480404,-0.44281694293022156,0.8991504907608032,-0.5040373206138611,-0.05047815293073654
1764303143.9214103,0.09312891215085983,0.0900086984038353,-0.3864581882953644,0.9699404835700989,-0.6284070014953613,0.0739295482635498,-0.12641091644763947,-0.025830436497926712,-0.4430955946445465,0.899153470993042,-0.5041625499725342,-0.05071993172168732
1764303143.9619522,0.09688606858253479,0.0855698511004448,-0.40564361214637756,0.9661166071891785,-0.6277295351028442,0.0828457698225975,-0.12030439078807831,-0.03183968365192413,-0.4392843246459961,0.8850415349006653,-0.5232805013656616,-0.03691650182008743
1764303144.0023437,0.10122550278902054,0.0865221843123436,-0.4151149094104767,0.967906653881073,-0.6280842423439026,0.09826494008302689,-0.11677515506744385,-0.03465355560183525,-0.4381502866744995,0.8716850280761719,-0.5308048725128174,-0.032472871243953705
